<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.ABT,1,20190506,163200,77.4300000,77.4300000,77.4300000,77.4300000,100
US1.ABT,1,20190506,163300,77.4600000,77.6100000,77.4300000,77.6100000,600
US1.ABT,1,20190506,163400,77.6500000,77.6500000,77.6500000,77.6500000,100
US1.ABT,1,20190506,163500,77.6700000,77.7700000,77.6500000,77.7700000,1100
US1.ABT,1,20190506,163600,77.7700000,77.8200000,77.7700000,77.8100000,700
US1.ABT,1,20190506,163700,77.8100000,77.9000000,77.8100000,77.9000000,500
US1.ABT,1,20190506,163800,77.9100000,77.9400000,77.9100000,77.9400000,200
US1.ABT,1,20190506,163900,77.8900000,77.8900000,77.8900000,77.8900000,100
US1.ABT,1,20190506,164100,78.0400000,78.2000000,78.0200000,78.1700000,1000
US1.ABT,1,20190506,164200,78.1800000,78.1800000,78.0600000,78.0700000,600
US1.ABT,1,20190506,164300,78.0800000,78.0800000,77.9300000,77.9500000,700
US1.ABT,1,20190506,164400,77.9800000,77.9800000,77.8900000,77.9400000,1200
US1.ABT,1,20190506,164500,77.8700000,77.9400000,77.8700000,77.9200000,810
US1.ABT,1,20190506,164600,77.9800000,77.9900000,77.9800000,77.9900000,300
US1.ABT,1,20190506,164700,78.0100000,78.0600000,78.0100000,78.0600000,500
US1.ABT,1,20190506,164800,78.0200000,78.0200000,77.9500000,77.9500000,500
US1.ABT,1,20190506,164900,77.9300000,77.9300000,77.8400000,77.8400000,900
US1.ABT,1,20190506,165000,77.9300000,77.9300000,77.8900000,77.8900000,400
US1.ABT,1,20190506,165100,77.9400000,77.9500000,77.9400000,77.9500000,400
US1.ABT,1,20190506,165200,77.9100000,77.9700000,77.9100000,77.9700000,200
US1.ABT,1,20190506,165300,78.1500000,78.1700000,78.1400000,78.1700000,400
US1.ABT,1,20190506,165400,78.1800000,78.1800000,78.1400000,78.1400000,400
US1.ABT,1,20190506,165700,77.9600000,77.9600000,77.9500000,77.9500000,885
US1.ABT,1,20190506,165800,77.9400000,77.9900000,77.9300000,77.9900000,600
US1.ABT,1,20190506,165900,77.9800000,77.9800000,77.9100000,77.9100000,600
US1.ABT,1,20190506,170000,77.9800000,78.0100000,77.9200000,77.9600000,800
US1.ABT,1,20190506,170100,77.9600000,77.9600000,77.8700000,77.9100000,1200
US1.ABT,1,20190506,170200,77.8700000,77.8700000,77.8200000,77.8200000,2269
US1.ABT,1,20190506,170300,77.8200000,77.8600000,77.8200000,77.8500000,500
US1.ABT,1,20190506,170400,77.8200000,77.8200000,77.8200000,77.8200000,100
US1.ABT,1,20190506,170500,77.7700000,77.7700000,77.7700000,77.7700000,100
US1.ABT,1,20190506,170600,77.6800000,77.6800000,77.6600000,77.6700000,900
US1.ABT,1,20190506,170700,77.6700000,77.6700000,77.6300000,77.6300000,400
US1.ABT,1,20190506,170800,77.6100000,77.6100000,77.6000000,77.6000000,200
US1.ABT,1,20190506,170900,77.5850000,77.5850000,77.5500000,77.5500000,300
US1.ABT,1,20190506,171000,77.5600000,77.6400000,77.5600000,77.6400000,500
US1.ABT,1,20190506,171100,77.6200000,77.6200000,77.5900000,77.6100000,700
US1.ABT,1,20190506,171200,77.6500000,77.7200000,77.6500000,77.6800000,1200
US1.ABT,1,20190506,171300,77.6900000,77.6900000,77.6500000,77.6500000,700
US1.ABT,1,20190506,171400,77.6400000,77.6400000,77.5700000,77.5700000,300
US1.ABT,1,20190506,171500,77.5700000,77.5700000,77.4950000,77.5100000,591
US1.ABT,1,20190506,171600,77.5200000,77.6000000,77.5200000,77.6000000,500
US1.ABT,1,20190506,171700,77.6400000,77.6400000,77.6400000,77.6400000,100
US1.ABT,1,20190506,171800,77.6300000,77.6300000,77.6300000,77.6300000,100
US1.ABT,1,20190506,172100,77.6900000,77.6900000,77.6400000,77.6400000,300
US1.ABT,1,20190506,172200,77.6700000,77.6700000,77.6700000,77.6700000,200
US1.ABT,1,20190506,172300,77.7000000,77.7000000,77.7000000,77.7000000,100
US1.ABT,1,20190506,172400,77.6700000,77.6700000,77.6600000,77.6600000,300
US1.ABT,1,20190506,172500,77.6900000,77.6900000,77.6500000,77.6500000,200
US1.ABT,1,20190506,172700,77.5700000,77.5700000,77.5700000,77.5700000,100
US1.ABT,1,20190506,172800,77.5900000,77.6100000,77.5500000,77.5500000,500
US1.ABT,1,20190506,172900,77.6100000,77.6100000,77.5800000,77.5800000,300
US1.ABT,1,20190506,173000,77.5700000,77.5700000,77.5700000,77.5700000,100
US1.ABT,1,20190506,173100,77.5600000,77.5600000,77.5600000,77.5600000,100
US1.ABT,1,20190506,173200,77.5400000,77.5500000,77.5100000,77.5300000,700
US1.ABT,1,20190506,173400,77.6100000,77.6100000,77.6000000,77.6000000,200
US1.ABT,1,20190506,173500,77.6700000,77.6700000,77.6600000,77.6600000,300
US1.ABT,1,20190506,173600,77.6900000,77.7200000,77.6900000,77.7200000,200
US1.ABT,1,20190506,173800,77.6900000,77.6900000,77.6300000,77.6300000,400
US1.ABT,1,20190506,173900,77.6200000,77.6200000,77.6000000,77.6100000,300
US1.ABT,1,20190506,174000,77.6500000,77.6500000,77.6500000,77.6500000,300
US1.ABT,1,20190506,174100,77.6800000,77.7600000,77.6800000,77.7600000,400
US1.ABT,1,20190506,174200,77.7600000,77.7600000,77.7600000,77.7600000,100
US1.ABT,1,20190506,174400,77.7600000,77.7600000,77.7500000,77.7500000,200
US1.ABT,1,20190506,174500,77.7100000,77.7100000,77.7100000,77.7100000,300
US1.ABT,1,20190506,174700,77.7000000,77.7000000,77.6700000,77.6700000,200
US1.ABT,1,20190506,174900,77.7400000,77.7850000,77.7400000,77.7800000,3186
US1.ABT,1,20190506,175000,77.8600000,77.8600000,77.8500000,77.8600000,400
US1.ABT,1,20190506,175100,77.9100000,77.9100000,77.9100000,77.9100000,200
US1.ABT,1,20190506,175200,77.9050000,78.0600000,77.9050000,78.0600000,1700
US1.ABT,1,20190506,175300,77.9700000,77.9800000,77.9600000,77.9800000,600
US1.ABT,1,20190506,175400,77.9700000,77.9700000,77.9600000,77.9650000,500
US1.ABT,1,20190506,175500,77.9400000,77.9550000,77.8900000,77.9000000,900
US1.ABT,1,20190506,175600,77.8700000,77.8800000,77.8500000,77.8500000,1100
US1.ABT,1,20190506,175700,77.8300000,77.8300000,77.8200000,77.8200000,600
US1.ABT,1,20190506,175800,77.8100000,77.8700000,77.8050000,77.8600000,900
US1.ABT,1,20190506,175900,77.8100000,77.8400000,77.8100000,77.8400000,300
US1.ABT,1,20190506,180000,77.8200000,77.8400000,77.8200000,77.8400000,300
US1.ABT,1,20190506,180100,77.8250000,77.8800000,77.8250000,77.8800000,300
US1.ABT,1,20190506,180200,77.8300000,77.8300000,77.8000000,77.8000000,200
US1.ABT,1,20190506,180300,77.8400000,77.8400000,77.8300000,77.8300000,700
US1.ABT,1,20190506,180400,77.8000000,77.8000000,77.7300000,77.7650000,1100
US1.ABT,1,20190506,180500,77.7550000,77.9100000,77.7550000,77.8800000,1055
US1.ABT,1,20190506,180700,77.8300000,77.8300000,77.8200000,77.8200000,300
US1.ABT,1,20190506,180800,77.8500000,77.8500000,77.8500000,77.8500000,200
US1.ABT,1,20190506,180900,77.8800000,77.8800000,77.8400000,77.8400000,400
US1.ABT,1,20190506,181000,77.8300000,77.8700000,77.8300000,77.8700000,300
US1.ABT,1,20190506,181100,77.7900000,77.7900000,77.7900000,77.7900000,200
US1.ABT,1,20190506,181200,77.7900000,77.8200000,77.7900000,77.8000000,600
US1.ABT,1,20190506,181300,77.7300000,77.7300000,77.6600000,77.6800000,300
US1.ABT,1,20190506,181500,77.7300000,77.7300000,77.7000000,77.7000000,400
US1.ABT,1,20190506,181600,77.7200000,77.7200000,77.6800000,77.6800000,300
US1.ABT,1,20190506,181700,77.7000000,77.7000000,77.7000000,77.7000000,200
US1.ABT,1,20190506,181800,77.6700000,77.6700000,77.6300000,77.6400000,1600
US1.ABT,1,20190506,181900,77.7100000,77.7100000,77.7100000,77.7100000,100
US1.ABT,1,20190506,182000,77.7100000,77.7800000,77.7100000,77.7800000,400
US1.ABT,1,20190506,182200,77.8600000,77.8600000,77.8600000,77.8600000,200
US1.ABT,1,20190506,182300,77.8600000,77.8600000,77.8300000,77.8400000,600
US1.ABT,1,20190506,182400,77.8600000,77.8600000,77.8600000,77.8600000,100
US1.ABT,1,20190506,182500,77.8500000,77.8700000,77.8400000,77.8700000,500
US1.ABT,1,20190506,182600,77.8600000,77.8650000,77.8500000,77.8650000,500
US1.ABT,1,20190506,182700,77.8900000,77.8900000,77.8700000,77.8700000,600
US1.ABT,1,20190506,182900,77.9100000,77.9200000,77.8800000,77.8800000,400
US1.ABT,1,20190506,183000,77.8800000,77.8800000,77.8600000,77.8600000,200
US1.ABT,1,20190506,183200,77.9200000,77.9200000,77.8200000,77.8200000,900
US1.ABT,1,20190506,183300,77.8500000,77.8500000,77.8200000,77.8200000,200
US1.ABT,1,20190506,183400,77.8000000,77.8300000,77.7200000,77.7200000,1200
US1.ABT,1,20190506,183500,77.6900000,77.7400000,77.6900000,77.7400000,800
US1.ABT,1,20190506,183600,77.7800000,77.8000000,77.7800000,77.8000000,400
US1.ABT,1,20190506,183700,77.8000000,77.8000000,77.7800000,77.7800000,300
US1.ABT,1,20190506,183800,77.7800000,77.7800000,77.7700000,77.7700000,200
US1.ABT,1,20190506,183900,77.7500000,77.7800000,77.7500000,77.7800000,200
US1.ABT,1,20190506,184000,77.7600000,77.7600000,77.7500000,77.7600000,400
US1.ABT,1,20190506,184100,77.7800000,77.7800000,77.7700000,77.7700000,200
US1.ABT,1,20190506,184200,77.7400000,77.7700000,77.7100000,77.7700000,1119
US1.ABT,1,20190506,184300,77.7600000,77.7800000,77.7500000,77.7800000,600
US1.ABT,1,20190506,184400,77.8200000,77.8200000,77.8200000,77.8200000,300
US1.ABT,1,20190506,184700,77.8700000,77.9100000,77.8700000,77.9100000,1200
US1.ABT,1,20190506,184800,77.9400000,77.9400000,77.9200000,77.9200000,1300
