<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.ATVI,1,20200505,093100,67.6700000,67.7100000,67.4800000,67.4800000,14223
US1.ATVI,1,20200505,093200,67.3400000,67.4800000,67.2300000,67.4300000,5523
US1.ATVI,1,20200505,093300,67.3100000,67.5600000,67.3100000,67.4800000,3616
US1.ATVI,1,20200505,093400,67.5000000,67.5400000,67.3300000,67.3800000,5389
US1.ATVI,1,20200505,093500,67.4500000,67.4500000,67.2100000,67.2200000,3238
US1.ATVI,1,20200505,093600,67.2400000,67.2500000,67.1400000,67.1600000,5097
US1.ATVI,1,20200505,093700,67.1400000,67.1500000,67.0400000,67.1000000,5090
US1.ATVI,1,20200505,093800,67.0400000,67.1200000,66.9700000,67.0800000,5001
US1.ATVI,1,20200505,093900,67.0600000,67.1800000,67.0400000,67.1500000,2123
US1.ATVI,1,20200505,094000,67.1200000,67.1700000,67.1100000,67.1100000,1800
US1.ATVI,1,20200505,094100,67.0600000,67.3500000,67.0400000,67.2900000,5799
US1.ATVI,1,20200505,094200,67.2700000,67.2700000,67.0500000,67.1900000,8969
US1.ATVI,1,20200505,094300,67.1900000,67.2700000,67.1400000,67.2500000,6056
US1.ATVI,1,20200505,094400,67.2600000,67.3100000,67.2600000,67.2700000,2000
US1.ATVI,1,20200505,094500,67.2800000,67.3800000,67.2800000,67.3800000,1300
US1.ATVI,1,20200505,094600,67.3500000,67.4100000,67.3250000,67.3900000,3674
US1.ATVI,1,20200505,094700,67.4200000,67.5200000,67.4100000,67.5200000,3325
US1.ATVI,1,20200505,094800,67.5750000,67.5900000,67.5100000,67.5800000,1900
US1.ATVI,1,20200505,094900,67.5700000,67.5950000,67.5400000,67.5800000,2000
US1.ATVI,1,20200505,095000,67.5500000,67.6900000,67.5400000,67.6800000,4437
US1.ATVI,1,20200505,095100,67.6600000,67.6700000,67.4500000,67.4500000,2200
US1.ATVI,1,20200505,095200,67.4700000,67.4800000,67.3800000,67.4000000,2232
US1.ATVI,1,20200505,095300,67.3700000,67.4100000,67.3400000,67.4100000,1000
US1.ATVI,1,20200505,095400,67.4300000,67.4500000,67.4100000,67.4100000,1050
US1.ATVI,1,20200505,095500,67.4100000,67.4700000,67.4100000,67.4300000,1700
US1.ATVI,1,20200505,095600,67.4300000,67.4400000,67.3400000,67.4200000,3112
US1.ATVI,1,20200505,095700,67.4300000,67.5100000,67.4300000,67.5100000,1500
US1.ATVI,1,20200505,095800,67.5300000,67.5300000,67.4700000,67.5000000,3017
US1.ATVI,1,20200505,095900,67.5000000,67.5000000,67.4250000,67.4400000,3204
US1.ATVI,1,20200505,100000,67.4800000,67.5500000,67.4800000,67.5300000,1100
US1.ATVI,1,20200505,100100,67.5000000,67.5200000,67.4700000,67.5000000,1400
US1.ATVI,1,20200505,100200,67.5100000,67.5100000,67.4500000,67.4500000,2126
US1.ATVI,1,20200505,100300,67.5150000,67.6200000,67.5150000,67.6200000,3030
US1.ATVI,1,20200505,100400,67.6100000,67.6800000,67.6100000,67.6800000,2200
US1.ATVI,1,20200505,100500,67.6700000,67.6700000,67.5400000,67.5400000,2745
US1.ATVI,1,20200505,100600,67.4600000,67.5100000,67.4600000,67.5000000,6345
US1.ATVI,1,20200505,100700,67.5100000,67.5300000,67.5000000,67.5300000,18622
US1.ATVI,1,20200505,100800,67.5800000,67.6300000,67.5800000,67.6100000,2086
US1.ATVI,1,20200505,100900,67.6200000,67.6600000,67.6200000,67.6500000,1400
US1.ATVI,1,20200505,101000,67.6500000,67.7200000,67.6400000,67.7100000,2574
US1.ATVI,1,20200505,101100,67.6900000,67.7200000,67.6900000,67.7000000,2098
US1.ATVI,1,20200505,101200,67.6950000,67.7400000,67.6900000,67.7400000,8157
US1.ATVI,1,20200505,101300,67.7500000,67.8000000,67.7500000,67.8000000,1754
US1.ATVI,1,20200505,101400,67.8050000,67.8200000,67.7900000,67.7950000,9917
US1.ATVI,1,20200505,101500,67.8000000,67.8100000,67.7700000,67.7900000,3224
US1.ATVI,1,20200505,101600,67.7400000,67.7600000,67.7000000,67.7600000,2960
US1.ATVI,1,20200505,101700,67.7700000,67.8000000,67.7550000,67.7700000,1500
US1.ATVI,1,20200505,101800,67.7700000,67.7700000,67.7400000,67.7600000,6700
US1.ATVI,1,20200505,101900,67.7650000,67.7800000,67.7500000,67.7800000,5551
US1.ATVI,1,20200505,102000,67.7800000,67.8600000,67.7800000,67.8500000,4037
US1.ATVI,1,20200505,102100,67.8450000,67.8700000,67.8300000,67.8600000,1427
US1.ATVI,1,20200505,102200,67.8700000,67.8950000,67.8400000,67.8900000,2454
US1.ATVI,1,20200505,102300,67.9300000,67.9300000,67.8200000,67.8200000,5300
US1.ATVI,1,20200505,102400,67.8200000,67.8200000,67.5900000,67.6400000,4836
US1.ATVI,1,20200505,102500,67.6400000,67.6500000,67.6000000,67.6000000,1300
US1.ATVI,1,20200505,102600,67.6200000,67.6650000,67.6000000,67.6200000,1757
US1.ATVI,1,20200505,102700,67.6300000,67.6300000,67.6000000,67.6000000,3415
US1.ATVI,1,20200505,102800,67.6100000,67.6100000,67.5300000,67.5300000,2555
US1.ATVI,1,20200505,102900,67.5100000,67.5100000,67.4400000,67.4400000,1242
US1.ATVI,1,20200505,103000,67.4300000,67.5200000,67.4300000,67.5100000,1725
US1.ATVI,1,20200505,103100,67.5100000,67.7300000,67.5100000,67.7100000,3800
US1.ATVI,1,20200505,103200,67.7200000,67.7600000,67.7100000,67.7600000,2835
US1.ATVI,1,20200505,103300,67.7600000,67.7900000,67.7600000,67.7700000,1006
US1.ATVI,1,20200505,103400,67.7700000,67.7900000,67.7700000,67.7850000,3246
US1.ATVI,1,20200505,103500,67.7700000,67.7900000,67.7600000,67.7900000,640
US1.ATVI,1,20200505,103600,67.7800000,67.7800000,67.7300000,67.7500000,1873
US1.ATVI,1,20200505,103700,67.7200000,67.7200000,67.5800000,67.5800000,900
